seed,condition,promote,winner_index,selected_family,selected_family_rho,reported_trials,actual_trials,winner_validation_ic,winner_holdout_ic,nominal_p,selected_family_max_ic
78,selected_family_only,False,229,7,0.85,32,256,0.013597878191883348,0.004558326633290121,0.01008700939032396,0.013597878191883348
78,hierarchical_manifest,False,229,7,0.85,256,256,0.013597878191883348,0.004558326633290121,0.01008700939032396,0.013597878191883348
78,complete_global_manifest,False,229,7,0.85,256,256,0.013597878191883348,0.004558326633290121,0.01008700939032396,0.013597878191883348
79,winner_only,True,24,0,0.15,1,256,0.022227342492225566,0.003845229342356565,2.070973231786833e-05,0.022227342492225566
79,selected_family_only,True,24,0,0.15,32,256,0.022227342492225566,0.003845229342356565,2.070973231786833e-05,0.022227342492225566
79,hierarchical_manifest,True,24,0,0.15,256,256,0.022227342492225566,0.003845229342356565,2.070973231786833e-05,0.022227342492225566
79,complete_global_manifest,True,24,0,0.15,256,256,0.022227342492225566,0.003845229342356565,2.070973231786833e-05,0.022227342492225566
80,winner_only,True,70,2,0.35,1,256,0.015549432631064968,0.012531828797318461,0.0032625704687740354,0.015549432631064968
80,selected_family_only,False,70,2,0.35,32,256,0.015549432631064968,0.012531828797318461,0.0032625704687740354,0.015549432631064968
80,hierarchical_manifest,False,70,2,0.35,256,256,0.015549432631064968,0.012531828797318461,0.0032625704687740354,0.015549432631064968
80,complete_global_manifest,False,70,2,0.35,256,256,0.015549432631064968,0.012531828797318461,0.0032625704687740354,0.015549432631064968
81,winner_only,True,185,5,0.6499999999999999,1,256,0.015811139101171774,0.0023753007255770194,0.005477188057895251,0.015811139101171774
81,selected_family_only,False,185,5,0.6499999999999999,32,256,0.015811139101171774,0.0023753007255770194,0.005477188057895251,0.015811139101171774
81,hierarchical_manifest,False,185,5,0.6499999999999999,256,256,0.015811139101171774,0.0023753007255770194,0.005477188057895251,0.015811139101171774
81,complete_global_manifest,False,185,5,0.6499999999999999,256,256,0.015811139101171774,0.0023753007255770194,0.005477188057895251,0.015811139101171774
82,winner_only,True,255,7,0.85,1,256,0.017051285898983123,0.009917553658262704,0.0017031793926864888,0.017051285898983123
82,selected_family_only,False,255,7,0.85,32,256,0.017051285898983123,0.009917553658262704,0.0017031793926864888,0.017051285898983123
82,hierarchical_manifest,False,255,7,0.85,256,256,0.017051285898983123,0.009917553658262704,0.0017031793926864888,0.017051285898983123
82,complete_global_manifest,False,255,7,0.85,256,256,0.017051285898983123,0.009917553658262704,0.0017031793926864888,0.017051285898983123
83,winner_only,True,100,3,0.44999999999999996,1,256,0.01606176882179162,0.005427732771745672,0.004707447583170734,0.01606176882179162
83,selected_family_only,False,100,3,0.44999999999999996,32,256,0.01606176882179162,0.005427732771745672,0.004707447583170734,0.01606176882179162
83,hierarchical_manifest,False,100,3,0.44999999999999996,256,256,0.01606176882179162,0.005427732771745672,0.004707447583170734,0.01606176882179162
83,complete_global_manifest,False,100,3,0.44999999999999996,256,256,0.01606176882179162,0.005427732771745672,0.004707447583170734,0.01606176882179162
84,winner_only,True,35,1,0.25,1,256,0.017680333239212226,-0.0006133862027971128,0.0017162387379348516,0.017680333239212226
84,selected_family_only,False,35,1,0.25,32,256,0.017680333239212226,-0.0006133862027971128,0.0017162387379348516,0.017680333239212226
84,hierarchical_manifest,False,35,1,0.25,256,256,0.017680333239212226,-0.0006133862027971128,0.0017162387379348516,0.017680333239212226
84,complete_global_manifest,False,35,1,0.25,256,256,0.017680333239212226,-0.0006133862027971128,0.0017162387379348516,0.017680333239212226
85,winner_only,False,25,0,0.15,1,256,0.010066562093049585,-0.007819981591995631,0.05422807742020718,0.010066562093049585
85,selected_family_only,False,25,0,0.15,32,256,0.010066562093049585,-0.007819981591995631,0.05422807742020718,0.010066562093049585
85,hierarchical_manifest,False,25,0,0.15,256,256,0.010066562093049585,-0.007819981591995631,0.05422807742020718,0.010066562093049585
85,complete_global_manifest,False,25,0,0.15,256,256,0.010066562093049585,-0.007819981591995631,0.05422807742020718,0.010066562093049585
86,winner_only,True,105,3,0.44999999999999996,1,256,0.015635305700506207,0.00022071888959004788,0.004453680312090444,0.015635305700506207
86,selected_family_only,False,105,3,0.44999999999999996,32,256,0.015635305700506207,0.00022071888959004788,0.004453680312090444,0.015635305700506207
86,hierarchical_manifest,False,105,3,0.44999999999999996,256,256,0.015635305700506207,0.00022071888959004788,0.004453680312090444,0.015635305700506207
86,complete_global_manifest,False,105,3,0.44999999999999996,256,256,0.015635305700506207,0.00022071888959004788,0.004453680312090444,0.015635305700506207
87,winner_only,True,36,1,0.25,1,256,0.011733301871385805,-0.006576744681252421,0.024804147242624225,0.011733301871385805
87,selected_family_only,False,36,1,0.25,32,256,0.011733301871385805,-0.006576744681252421,0.024804147242624225,0.011733301871385805
87,hierarchical_manifest,False,36,1,0.25,256,256,0.011733301871385805,-0.006576744681252421,0.024804147242624225,0.011733301871385805
87,complete_global_manifest,False,36,1,0.25,256,256,0.011733301871385805,-0.006576744681252421,0.024804147242624225,0.011733301871385805
88,winner_only,True,29,0,0.15,1,256,0.016784832055039254,0.0037574070490928356,0.0018552737568029594,0.016784832055039254
88,selected_family_only,False,29,0,0.15,32,256,0.016784832055039254,0.0037574070490928356,0.0018552737568029594,0.016784832055039254
88,hierarchical_manifest,False,29,0,0.15,256,256,0.016784832055039254,0.0037574070490928356,0.0018552737568029594,0.016784832055039254
88,complete_global_manifest,False,29,0,0.15,256,256,0.016784832055039254,0.0037574070490928356,0.0018552737568029594,0.016784832055039254
89,winner_only,True,125,3,0.44999999999999996,1,256,0.018932007333723737,0.003586917646801483,0.000854320324403214,0.018932007333723737
89,selected_family_only,True,125,3,0.44999999999999996,32,256,0.018932007333723737,0.003586917646801483,0.000854320324403214,0.018932007333723737
89,hierarchical_manifest,False,125,3,0.44999999999999996,256,256,0.018932007333723737,0.003586917646801483,0.000854320324403214,0.018932007333723737
89,complete_global_manifest,False,125,3,0.44999999999999996,256,256,0.018932007333723737,0.003586917646801483,0.000854320324403214,0.018932007333723737
90,winner_only,True,29,0,0.15,1,256,0.018315812327592478,0.012187974479284847,0.0007210904947873058,0.018315812327592478
90,selected_family_only,True,29,0,0.15,32,256,0.018315812327592478,0.012187974479284847,0.0007210904947873058,0.018315812327592478
90,hierarchical_manifest,False,29,0,0.15,256,256,0.018315812327592478,0.012187974479284847,0.0007210904947873058,0.018315812327592478
90,complete_global_manifest,False,29,0,0.15,256,256,0.018315812327592478,0.012187974479284847,0.0007210904947873058,0.018315812327592478
91,winner_only,True,109,3,0.44999999999999996,1,256,0.01749668380300842,0.011748524541666054,0.0037325276716759148,0.01749668380300842
91,selected_family_only,False,109,3,0.44999999999999996,32,256,0.01749668380300842,0.011748524541666054,0.0037325276716759148,0.01749668380300842
91,hierarchical_manifest,False,109,3,0.44999999999999996,256,256,0.01749668380300842,0.011748524541666054,0.0037325276716759148,0.01749668380300842
91,complete_global_manifest,False,109,3,0.44999999999999996,256,256,0.01749668380300842,0.011748524541666054,0.0037325276716759148,0.01749668380300842
92,winner_only,True,96,3,0.44999999999999996,1,256,0.012684629006111368,0.0032802522308906148,0.012870772445465372,0.012684629006111368
92,selected_family_only,False,96,3,0.44999999999999996,32,256,0.012684629006111368,0.0032802522308906148,0.012870772445465372,0.012684629006111368
92,hierarchical_manifest,False,96,3,0.44999999999999996,256,256,0.012684629006111368,0.0032802522308906148,0.012870772445465372,0.012684629006111368
92,complete_global_manifest,False,96,3,0.44999999999999996,256,256,0.012684629006111368,0.0032802522308906148,0.012870772445465372,0.012684629006111368
93,winner_only,True,7,0,0.15,1,256,0.012429261210890693,0.008388634806877364,0.026396227172654014,0.012429261210890693
93,selected_family_only,False,7,0,0.15,32,256,0.012429261210890693,0.008388634806877364,0.026396227172654014,0.012429261210890693
93,hierarchical_manifest,False,7,0,0.15,256,256,0.012429261210890693,0.008388634806877364,0.026396227172654014,0.012429261210890693
93,complete_global_manifest,False,7,0,0.15,256,256,0.012429261210890693,0.008388634806877364,0.026396227172654014,0.012429261210890693
94,winner_only,True,185,5,0.6499999999999999,1,256,0.021124161271676687,0.009395714018127438,0.0001204344784555415,0.021124161271676687
94,selected_family_only,True,185,5,0.6499999999999999,32,256,0.021124161271676687,0.009395714018127438,0.0001204344784555415,0.021124161271676687
94,hierarchical_manifest,True,185,5,0.6499999999999999,256,256,0.021124161271676687,0.009395714018127438,0.0001204344784555415,0.021124161271676687
94,complete_global_manifest,True,185,5,0.6499999999999999,256,256,0.021124161271676687,0.009395714018127438,0.0001204344784555415,0.021124161271676687
95,winner_only,True,56,1,0.25,1,256,0.01788536277857995,0.006621090882168616,0.0017128110064857966,0.01788536277857995
95,selected_family_only,False,56,1,0.25,32,256,0.01788536277857995,0.006621090882168616,0.0017128110064857966,0.01788536277857995
95,hierarchical_manifest,False,56,1,0.25,256,256,0.01788536277857995,0.006621090882168616,0.0017128110064857966,0.01788536277857995
95,complete_global_manifest,False,56,1,0.25,256,256,0.01788536277857995,0.006621090882168616,0.0017128110064857966,0.01788536277857995
96,winner_only,True,8,0,0.15,1,256,0.02220373013013984,0.01626323077410515,0.0001590001213223468,0.02220373013013984
96,selected_family_only,True,8,0,0.15,32,256,0.02220373013013984,0.01626323077410515,0.0001590001213223468,0.02220373013013984
96,hierarchical_manifest,True,8,0,0.15,256,256,0.02220373013013984,0.01626323077410515,0.0001590001213223468,0.02220373013013984
96,complete_global_manifest,True,8,0,0.15,256,256,0.02220373013013984,0.01626323077410515,0.0001590001213223468,0.02220373013013984
97,winner_only,True,65,2,0.35,1,256,0.017422178852391328,-0.0008673363485938268,0.0013267148325094677,0.017422178852391328
97,selected_family_only,True,65,2,0.35,32,256,0.017422178852391328,-0.0008673363485938268,0.0013267148325094677,0.017422178852391328
97,hierarchical_manifest,False,65,2,0.35,256,256,0.017422178852391328,-0.0008673363485938268,0.0013267148325094677,0.017422178852391328
97,complete_global_manifest,False,65,2,0.35,256,256,0.017422178852391328,-0.0008673363485938268,0.0013267148325094677,0.017422178852391328
98,winner_only,True,32,1,0.25,1,256,0.01414573412310025,0.005160313428179583,0.00858275482429505,0.01414573412310025
